player_name,country,teams,account_id,opendota_name,liquipedia_title,photo_url,match_count,wins,recent_match_count,recent_wins,avg_kills,avg_deaths,avg_assists,avg_gpm,avg_xpm
sukadyl,ZA,Novus,1096796120,sukadyl,,https://avatars.steamstatic.com/896da5e59557c9000fd53a0781dce6ef1ae82a51_full.jpg,15,8,20,12,5.85,9.0,17.0,620.35,1137.75
FoKBa,AG,MAGMA,1062089256,FoKBa,,https://avatars.steamstatic.com/ed434c83661ceafaf9c5bb16783965f4ba7982b9_full.jpg,451,221,20,6,3.95,13.6,20.45,305.4,500.85
chervyachok,AO,Feeders Anonymous,1564433036,chervyachok,,https://avatars.steamstatic.com/44b65fa70c3df3819aa00d7b9cb13a40ac7cc2dc_full.jpg,229,105,20,5,6.5,10.4,16.35,441.25,658.05
bzm,AS,Tundra Esports,93618577,bzm,,https://avatars.steamstatic.com/b19df011bbc2c18e4bc8a47cb82c0467726e8e1d_full.jpg,17684,9500,20,10,6.25,4.55,9.8,595.5,729.75
theory of ideology,AT,elegia,1738111508,theory of ideology,,https://avatars.steamstatic.com/6a26f2c209ee663b225cde57553c36d4364abc2b_full.jpg,851,396,20,7,7.3,7.95,8.45,860.05,1474.4
burgir,AX,4AndKebabMaker,342946047,burgir,,https://avatars.steamstatic.com/34b01b0d107ec4ce3c696b2813006dc509dd15fa_full.jpg,2690,1371,20,11,7.25,6.7,17.35,570.85,853.9
Liqvalen,Afghanistan,White Ash Team,413916878,Liqvalen,,https://avatars.steamstatic.com/12a5f7303ac7a4ca1197f3dc805448baef826b7b_full.jpg,125,72,20,7,10.95,6.55,8.95,761.6,1183.65
Raizel,Albania,Rune Eaters,369410085,Raizel,,https://avatars.steamstatic.com/4203f068d261e15b42f0981c2307dd9958052b87_full.jpg,2675,1396,20,9,4.9,10.25,13.25,419.1,580.75
Taku.-,Argentina,Support's Life,58037125,Taku.-,,https://avatars.steamstatic.com/4037923deef14546ef16396dcda868e350ecea36_full.jpg,8970,4638,20,8,6.15,12.3,17.65,407.35,624.9
Kidaro,Australia,OG,104334048,Kidaro,,https://avatars.steamstatic.com/f3240910bb637c3a86db53624de08a7d759024ed_full.jpg,14456,8133,20,13,1.5,7.05,15.15,315.15,468.6
rue,BB,Team Spirit,847565596,rue,,https://avatars.steamstatic.com/aeea8dfbe53d13d39a98ddfe14487f732f0bab9e_full.jpg,3989,2198,20,13,3.5,5.8,15.85,336.5,542.3
RihortSoo,BD,Team Sadge,1148930028,RihortSoo,,https://avatars.steamstatic.com/925e23cecc3da7699a8b466664a73c0ecf8eac51_full.jpg,144,82,20,8,5.3,7.95,12.9,702.45,1325.1
mc,BG,Shopify Rebellion,34505203,mc,,https://avatars.steamstatic.com/59504ab49f50d72492d21593ba1ae619773a467c_full.jpg,6605,3701,20,9,8.55,6.75,16.3,1060.25,1599.4
Monkela,BI,Team Spirit,1674694462,Monkela,,https://avatars.steamstatic.com/3b71aecbfe491318d94ba596289c05da5cd358f6_full.jpg,30,14,20,9,7.85,6.35,11.75,1028.3,1925.85
PAxMaHuHoB`,BJ,Zenit Saint Petersburg,437595980,PAxMaHuHoB`,,https://avatars.steamstatic.com/2796821a3d93aa77445951b9183806b73d7edd39_full.jpg,2013,1091,20,8,7.2,5.3,6.5,573.5,701.05
Kengri,BO,MEW,368073459,Kengri,,https://avatars.steamstatic.com/faa339da85d448e46c8ddf3ac33f87509b4a74dd_full.jpg,3666,1886,20,11,6.8,8.25,14.8,571.35,787.75
Konaric-,BY,Team Warta,247600417,Konaric-,,https://avatars.steamstatic.com/14a61257f5245dc1345d6a76492aaeaaab1f1d6b_full.jpg,4184,2146,20,12,9.45,6.5,13.1,571.4,751.8
grpx1 <01,Brazil,x5 Gaming,916319073,grpx1 <01,,https://avatars.steamstatic.com/9ce095bd224884151dd75b09f5c8c9804f99eb83_full.jpg,5418,3000,20,9,8.9,8.75,13.7,616.4,914.1
Reifū,CD,Vorpal Swordz,1683367124,Reifū,,https://avatars.steamstatic.com/9f90a330436b00499dff7e49968a5cc06a3116c1_full.jpg,494,255,20,7,6.55,7.8,12.25,508.6,680.3
StyxJR06,CO,Port Soyuz Lerius,1282686505,StyxJR06,,https://avatars.steamstatic.com/b415d356d598a4c5bc7f357499719d2406e190f7_full.jpg,1291,680,20,13,5.5,3.2,9.7,1136.3,1660.5
Pashtq,CX,SISKI GAMING,905567563,Pashtq,,https://avatars.steamstatic.com/51bb78fd07a616dffa959c285ad0951a7ece4680_full.jpg,2612,1320,20,14,10.2,6.25,14.15,479.05,675.85
Papercut,Canada,Red Grader,146399558,Papercut,,https://avatars.steamstatic.com/2f1d05c2811f47a3fc6488699b2d0613cc2d192f_full.jpg,4475,2255,20,14,15.2,6.95,15.05,694.9,954.35
Blay,Chile,Sad BoyS,113602555,Blay,,https://avatars.steamstatic.com/11957bf7722c53520961d7af2ba82da8712ac076_full.jpg,11588,5971,20,8,6.15,6.4,14.2,475.5,594.3
Pyw,China,Xtreme Gaming,138543123,Pyw,,https://avatars.steamstatic.com/1eae8e343cd48b7a9ae23ec3dcf7b71b6baf587f_full.jpg,9250,5268,20,8,3.85,6.15,12.45,334.1,465.0
starless,Czech Republic,BŮČCI 5 VŮNÍ,177798748,starless,,https://avatars.steamstatic.com/d6f42bb149b3559c83116d8fc849ef5e2729cc8d_full.jpg,6413,3376,20,10,9.8,5.95,10.8,635.45,805.6
overhelmed,DZ,#снялпопы,1876689618,overhelmed,,https://avatars.steamstatic.com/973726951e681a5cc29c1d58b1ebdb92cec72757_full.jpg,63,32,20,9,9.0,8.05,15.75,492.55,673.85
KRooZi,Denmark,Mango tree,902389059,KRooZi,,https://avatars.steamstatic.com/d00bb9177c6843f27cab6b6f838bbf88e7697e64_full.jpg,1135,584,20,14,8.1,7.8,14.6,551.95,791.25
SebaS,EC,NoPing Esports,249986681,SebaS,,https://avatars.steamstatic.com/ba2e7f820525b375059680b13b3be0d86b57f97e_full.jpg,1465,796,20,11,12.45,4.3,11.05,575.65,709.05
Valex,ER,BackTrackBoys,367202862,Valex,,https://avatars.steamstatic.com/8cb2cb53c02bde806b58c64af4c97187cf8c8c21_full.jpg,4113,2125,20,13,10.15,5.05,15.05,558.15,770.45
Vex,ET,King legion,798111003,Vex,,https://avatars.steamstatic.com/651edef74c3e4041ee6b0f782f667f32d909ba7d_full.jpg,7,3,9,5,6.67,5.78,9.89,582.44,869.11
Chakra,Estonia,Creepy Gaming,359410055,Chakra,,https://avatars.steamstatic.com/eb44feb7bcc1ae95c0e26ba2c506227a23187160_full.jpg,5902,3046,20,11,11.6,6.4,16.65,531.15,778.25
MRBEBES,FO,Team Karmens,1519555895,MRBEBES,,https://avatars.steamstatic.com/b178c79d96d379bffc30e7d84efc2222815a8353_full.jpg,626,315,20,12,9.25,8.8,12.25,964.45,1647.85
Focus,GR,JustBetter,196490133,Focus,,https://avatars.steamstatic.com/6a9c5b75b946339aeb2455e63b2e2175ae17fb5f_full.jpg,17129,9032,20,14,17.25,3.9,13.3,751.7,1009.05
Fiod,Germany,Bonjour Team,1424964292,Fiod,,https://avatars.steamstatic.com/1ac15abe7cbc5979fc6da8d2153afb5868394d11_full.jpg,528,275,20,9,9.8,8.55,11.85,531.0,793.9
Madara (Omar Dabachach),Greece,Ad Finem,,Madara (Omar Dabachach),,https://liquipedia.net/commons/images/6/6a/Madara_The_Boston_Major_2016.jpg,0,0,0,0,,,,,
Conchobhar,IE,Imprint Esports,104193278,Conchobhar,,https://avatars.steamstatic.com/ded502a7de8875dfcd0c69813378cc8f14ab0ed3_full.jpg,4996,2602,20,8,4.05,8.1,16.45,324.95,474.25
vaLpink,IO,TEAM VAL,378605658,vaLpink,,https://avatars.steamstatic.com/6e6cab0287a9611ba56d246ad0d1baa484cd2e01_full.jpg,4134,2083,20,13,8.05,7.55,16.85,445.55,680.95
famikibk,IS,avice666fanat,1116602063,famikibk,,https://avatars.steamstatic.com/87c04480fec8b27b0b231699f75cd00c920d554c_full.jpg,2533,1295,20,15,8.65,6.55,12.1,633.9,840.55
YaegerKnight,India,Grand Tour,113279153,YaegerKnight,,https://avatars.steamstatic.com/f56f8ad943f823c4c10fdc030773d7fc100195b1_full.jpg,4852,2443,20,11,10.05,9.5,18.9,567.9,808.75
Vadimati,Indonesia,Pathetic Team,900760505,Vadimati,,https://avatars.steamstatic.com/a92193311170a2457d361e035b5ebd467fcf9d45_full.jpg,2023,1045,20,12,8.65,6.4,15.4,641.1,946.5
33,Israel,Tundra Esports,86698277,33,,https://liquipedia.net/commons/images/0/02/33_2025_Tundra_Esports.png,19112,10387,20,10,4.1,4.15,9.6,565.35,684.75
Medit3rranean一寸,JP,Mediterranean Team,317704149,Medit3rranean一寸,,https://avatars.steamstatic.com/4a73e82ef3c9700b852ac13ed46429a36f7b954c_full.jpg,1202,583,20,9,6.2,4.65,10.9,1140.65,1868.95
islA,Jordan,CDUB Esports,103162342,islA,,https://avatars.steamstatic.com/e47e8100b9152319c1218f4528b9e8aa1fbb874e_full.jpg,21197,10792,20,9,2.75,7.75,14.55,321.4,445.75
sunset‷,KG,Sibe Team,279460864,sunset‷ ,,https://avatars.steamstatic.com/229bf89bbbdde06b6a7b3396abdf0cd06228f7ac_full.jpg,13786,7155,20,10,5.05,7.15,16.65,498.35,750.25
Lav1Las,KM,Team Wardens,197907787,Lav1Las,,https://avatars.steamstatic.com/e47b602e175c9e0e73e82d544e427d8df0411038_full.jpg,8388,4469,20,7,7.85,6.4,15.4,502.65,678.65
Danial,Kazakhstan,HYDRA,326327879,Danial,,https://avatars.steamstatic.com/d9d463712629003b81cc631eb88cdf47349853a6_full.jpg,18687,9656,20,7,3.35,6.35,13.95,296.2,435.6
KONEBOYS,LA,ONE WAY,379229234,KONEBOYS,,https://avatars.steamstatic.com/a64e32a30325cd5e327de9186fe3242dc2ef1dc7_full.jpg,3063,1548,20,9,10.4,6.25,9.65,677.5,850.9
armageddon,Latvia,VP.Prodigy,838547248,armageddon,,https://avatars.steamstatic.com/687ae6d4f51a1871a434994b9ee74a846cbd128b_full.jpg,7838,4017,20,4,4.4,5.55,10.55,324.35,416.9
No!ob™,Lebanon,Nigma Galaxy,140297552,No!ob™,,https://avatars.steamstatic.com/6066c22c3fe798bfc44a50e40d38d5638f1fa405_full.jpg,11933,6542,20,12,3.65,3.05,10.9,590.65,754.75
Hunrize,MD,Robelic Diamond Team,929818345,Hunrize,,https://avatars.steamstatic.com/c21a7626417ebba4c7823e673c9772ea71176a62_full.jpg,1638,839,20,8,6.75,10.4,16.0,480.2,633.75
ПЕДIK,MK,#вшар,1908304296,ПЕДIK,,https://avatars.steamstatic.com/b142438d23793140ef57522ebe948f3040e7da59_full.jpg,0,0,0,0,,,,,
xypaqqe,MU,.,1207501647,xypaqqe,,https://avatars.steamstatic.com/bb11f2f650a02c6a3b96e232d686881b35d98bcf_full.jpg,780,417,20,10,9.9,9.0,11.85,630.65,936.95
larbytela,MW,besmil9h,1674524190,larbytela,,https://avatars.steamstatic.com/b63bc99abd32d837ef29597a868159150c4f2b68_full.jpg,1539,785,20,11,8.25,7.6,16.3,533.4,748.6
N1ne,MX,Gods of Hell,396792504,N1ne,,https://avatars.steamstatic.com/9c80607ffb6bf4db8adc7bb2449a71d16adf5be1_full.jpg,12226,6298,20,8,5.0,5.65,11.45,325.1,414.65
ChYuaN,Malaysia,Talon,113435203,ChYuaN,,https://liquipedia.net/commons/images/9/9f/ChYuan_The_International_2021.jpg,11977,7459,20,12,6.9,2.9,10.8,549.35,666.9
Se,Mongolia,BLEED,196400041,Se,,https://avatars.steamstatic.com/84686909aee3e7c73d1bfc89fec659cdefad0da2_full.jpg,3094,1692,20,9,3.0,6.75,16.3,325.75,438.0
Blutkönig,Netherlands,5Prisoners Junior,1299119771,Blutkönig,,https://avatars.steamstatic.com/e5126f6af48ca74b81e4dbf9004f24ea3096b657_full.jpg,1935,956,20,10,11.35,7.75,11.75,632.0,821.85
HaSeEb,Pakistan,H1GH-F1VE,869438725,HaSeEb,,https://avatars.steamstatic.com/7c4d7a4d0377b69b7702dbaaa3d4030d1da07ed2_full.jpg,6426,3291,20,10,11.25,8.9,9.8,541.75,802.2
StinkyDotA,Peru,Sector X,241904650,StinkyDotA,,https://avatars.steamstatic.com/be5489ab8809e74cdd0ede8624414fa3038800e2_full.jpg,3698,1752,20,7,5.55,8.35,20.05,362.0,537.7
DON,Philippines,Lil Baws,425195009,DON,,https://avatars.steamstatic.com/b1ee35abb9fd625f22759575df0af03df752a145_full.jpg,8,4,10,4,8.7,11.3,11.2,675.1,1000.0
tidEman,Poland,Jedzie Tramwaj,191830783,tidEman,,https://avatars.steamstatic.com/ca50d771eff7a08d9d58abcbfd53cfbcb35ed80b_full.jpg,8326,4162,20,9,8.75,9.25,13.45,591.15,820.3
BliNcc,Romania,stream,94439767,BliNcc,,https://avatars.steamstatic.com/1deae595437a4d8b285e454569030ba7aef92725_full.jpg,17762,9312,20,8,6.85,4.65,12.65,528.0,688.45
karinegod,Russia,Never Back Down,1684242924,karinegod,,https://avatars.steamstatic.com/f81ad12a70913aec257011ec4ce9aff1b862d87e_full.jpg,2313,1193,20,6,4.6,7.1,7.45,449.9,580.15
SlaweE,SK,SAND KING GÓMEZ,106783671,SlaweE,,https://avatars.steamstatic.com/bbc0fe1e218ab42810adaead2402834c26adf9ac_full.jpg,11734,6187,20,9,8.4,4.3,10.15,728.5,781.15
kriKKiler,SL,Team Deprimes,1353072024,kriKKiler,,https://avatars.steamstatic.com/16f09ab3ff261c8add848ef92c57b4ed415acd54_full.jpg,271,115,20,6,2.9,10.65,18.35,284.3,455.65
HedUs,Serbia,Yatagarasu,1016730588,HedUs,,https://avatars.steamstatic.com/ce82043b001f9cf66ef27b1f842390f08053113b_full.jpg,464,244,20,11,3.5,6.4,12.35,314.15,455.85
ponlo,Singapore,Team Zero,193884241,ponlo,,https://avatars.steamstatic.com/25cb7d9d59ad7672f741b095f01edcbd68b1d80b_full.jpg,16589,8745,20,7,5.0,6.75,9.9,367.7,504.55
quota,Sweden,LGD.FOREVER YOUNG,1240769263,quota,,https://avatars.steamstatic.com/c815d4e0d1989af356780ee7000e6f9b97e4e833_full.jpg,115,54,20,12,10.55,6.1,13.0,652.85,868.05
3ombe,Switzerland,Team Warta,362668319,3ombe,,https://avatars.steamstatic.com/f31ac6b764e5e755e478d9b2bb0e590316d08f04_full.jpg,4012,2054,20,15,3.85,7.3,22.05,322.6,521.35
masiqqe,TF,mentissssss squad,914820553,masiqqe,,https://avatars.steamstatic.com/7be5f6d8041dcde9d8ebd261f1e988f5c4a694af_full.jpg,704,357,20,10,13.1,6.65,10.35,735.3,1162.0
Q,Thailand,Aurora Gaming,193815691,Q,,https://avatars.steamstatic.com/bffc4f8a550b46ba3d345190d841027990629934_full.jpg,8307,4589,20,9,3.8,4.85,12.25,360.2,483.85
ARMIN,Turkey,ROYAL,1548053400,ARMIN,,https://avatars.steamstatic.com/822a44b35230d81f38f76589156ab092a36d0a6c_full.jpg,1,1,1,1,9.0,0.0,9.0,1286.0,1126.0
Maliros,UNK,Team Summer,1214026545,Maliros,,https://avatars.steamstatic.com/199d1cd7c3d8f4ff8073c33c885a7e3252687232_full.jpg,371,160,20,7,2.2,6.95,12.25,308.1,437.55
chrleezxc,UZ,helpme,843713863,chrleezxc,,https://avatars.steamstatic.com/2951c09389516a77d47e305821de17db9b0853bf_full.jpg,1670,828,20,9,10.4,7.75,13.45,690.15,1062.8
deadneyk,Ukraine,pixie SQUAD,949686503,deadneyk,,https://avatars.steamstatic.com/bd683a1c99907c83c95dee84372c1063c7264a67_full.jpg,275,153,20,12,5.2,4.1,10.25,1131.2,1930.3
Char.Dimplesdota,United Kingdom,TX4,131006839,Char.Dimplesdota,,https://avatars.steamstatic.com/d7b6ee98a9c3a20e07be319085df15742d652998_full.jpg,10578,5385,20,6,5.05,7.75,14.3,456.5,832.05
HwD,United States,Beta Esports,840016252,HwD,,https://avatars.steamstatic.com/cac7e676389af4a7c6e1f05a4de7514fe73b69f3_full.jpg,4977,2487,20,11,9.5,8.25,13.55,656.6,916.35
bombi,Vietnam,Neon Esports,228517469,bombi,,https://avatars.steamstatic.com/38e7bc731e43ed2e056b6a33d85cf8d3e4e8fe32_full.jpg,10452,5432,20,10,3.95,7.3,16.95,351.2,478.45
Billi-,ZA,Billi Team,1832062518,Billi-,,https://avatars.steamstatic.com/5e0e1941fa39174c00fa7f4ce0018253fad91715_full.jpg,140,79,20,5,5.25,8.7,12.85,492.95,771.1
zxcplayer,AG,Guardians of Hearts,1096358837,zxcplayer,,https://avatars.steamstatic.com/fa3dd458766d1939dc0000ea5b363051daaf8d84_full.jpg,37,15,20,8,9.55,7.7,13.15,498.5,752.4
hannamiya<,AO,mm,193702114,hannamiya<,,https://avatars.steamstatic.com/5a5d5e3bb641e76a49b5e3762f8e5407c2f55a97_full.jpg,1740,963,20,13,6.7,4.55,13.75,743.75,1108.55
Nathan,AS,Literary Doom,1112638226,Nathan,,https://avatars.steamstatic.com/2ac1aeda9878456467acec29434175723515a189_full.jpg,91,52,20,4,9.15,6.75,9.8,499.15,667.8
panto,AT,Team Spirit,108958769,panto,,https://avatars.steamstatic.com/185189d952d13965d92cb70b68a351cf7df861dd_full.jpg,14612,7941,20,13,2.4,5.6,15.55,348.3,535.8
