player_account_id,player_name,country_code,team_id,team_name,player_avatar_url,team_logo_url
1506500281,shinigami~,AF,9731227,Ravage Rangers,https://avatars.steamstatic.com/8c74336d0b080eb673227907fbb1f6820c4d1d08_full.jpg,
201206759,SooQb,AF,,Raven Squad,https://avatars.steamstatic.com/900f69995cd138bf989f884df8aa4c528c9a7363_full.jpg,
364087999,Hitori,AF,10001753,Rolling Mayhem,https://avatars.steamstatic.com/1df3535a6f4c9bcf76d310fff46700d18b98412c_full.jpg,
294135421,Nicky`Cool,AF,9758040,Runa Team,https://avatars.steamstatic.com/377cdece6c27b85e9f261e4a272e7d72b1705d7d_full.jpg,https://cdn.steamusercontent.com/ugc/23189918875091243/4CEBD73D73236BCAC62F16D2D432532CC2A5D1F2/
1468936559,Veyn,AF,9906195,SC Team,,
1677491684,psychopathy,AF,9878862,Team Deprimes,https://avatars.steamstatic.com/4d56f64f5ed9a988647035d53c59199bfc2c72f6_full.jpg,
1410623549,kasane ,AF,9705237,Team Furry,https://avatars.steamstatic.com/a916426eb358355534a48c2ee27c74f19a249b9a_full.jpg,
1415425366,Keks,AF,9367648,Team Morphe,https://avatars.steamstatic.com/751649132016c483924d2b46a617a99c24c53a57_full.jpg,
106305042,Larl,AF,7119388,Team Spirit,https://avatars.steamstatic.com/96ebdf3e37a6c4c8f90171c4a178582f3abc07d7_full.jpg,https://cdn.steamusercontent.com/ugc/1839179120711951766/CD7E0885CB527334205CC7885E9C101B7BC17702/
1041665924,pla,AF,9119849,Team Spirt,https://avatars.steamstatic.com/b3adc4a814e005eefcda6c2d5b946497cb0937d6_full.jpg,
1246958982,sbr,AF,9556962,Team Spirt,https://avatars.steamstatic.com/33209cebf48703f20201025b81b7a5d63cdfa534_full.jpg,
154672377,LAZARUS,AF,,Team Vortex,https://avatars.steamstatic.com/97110cdc32efc462b7c1921f44a949bd1caca8a9_full.jpg,
413916878,Liqvalen,AF,9905499,White Ash Team,https://avatars.steamstatic.com/12a5f7303ac7a4ca1197f3dc805448baef826b7b_full.jpg,
233706218,icysnow,AF,9455253,Yellow Submarine,https://avatars.steamstatic.com/6f122bba63a107b15e231156381041c418790d8f_full.jpg,
386589433,Nam,AF,9885854,avangard,https://avatars.steamstatic.com/be3001f4c6eb259b20dd2c85206d16111992d39b_full.jpg,
